GDP_per_capita,HealthExpenditure_percentofGDP,Population_Growth,Infant_Mortality_per1000livebirth,Inflation_ConsumerPrices_percent,Current_education_expenditure_percentofGDP,Life_expectancy_Birth_inyears
4478.42,5.71,1.6,21.4,3.75,3.14,74.06
1585.24,3.53,2.61,51.6,1.07,3.13,58.92
1768.71,4.43,2.25,54.75,2.29,3.13,62.19
3252.11,4.4,1.4,22.2,5.21,3.13,71.1
1704.14,4,2.7,64.02,1.78,3.07,57.76
783.64,7.54,2.64,27.3,-0.31,3.07,68.7
7296.88,3.79,0.32,8.1,1.06,3.06,76.93
2606.62,2.14,2.58,35.7,1.15,3,64.29
3893.86,2.87,1.13,20.9,3.2,3,71.51
4308.15,7.79,1.82,13.8,4.46,2.98,74.41
1241.83,2.49,2.73,60.4,0.64,2.93,61.47
7959.01,2.75,2.6,32.2,4.75,2.93,66.19
15545,7.27,1.69,13.2,0.76,2.88,78.33
523.95,4.79,2.67,37.5,8.59,2.87,66.68
66679.05,4.46,0.47,2.1,0.44,2.65,83.3
16679.59,5.23,0.89,6,1.21,2.64,76.89
9812.63,2.92,1.31,9.2,6.02,2.62,73.15
710.27,6.74,2.45,63.3,23.56,2.58,63.73
8058.44,8.35,0.59,6.4,6.08,2.52,78.88
4739.84,3.51,0.87,19.3,2.27,2.46,72.86
955.11,3.93,2.83,65.1,9.83,2.38,61.19
732.72,3.09,2.95,36.8,6.52,2.37,61.74
33290.03,6.25,1.01,11.1,2.27,2.31,73.75
4220.54,10.03,0.24,11,2.52,2.26,74.95
726.15,4.1,3.02,70.8,4.27,2.26,53.98
1512.13,6.03,1.49,23.7,2.46,2.16,69.57
802.77,7,2.49,54,0.38,2.14,58
4059.21,3.76,1.05,6.4,2.14,2.14,76.81
770.6,6.53,3.73,34.6,2.62,2.13,62.97
3289.64,2.55,3.28,51.9,19.63,2.04,60.78
1250.17,4.79,0.61,37,6.87,1.92,66.87
2801.37,2.37,1.97,36.9,4.37,1.87,64.26
1479.35,7.69,1.27,49.4,12.48,1.68,63.66
475.95,10.99,1.52,83.4,1.61,1.57,52.81
5287.66,5.26,-0.25,8.5,2.03,,78.46
6473.55,5.23,1.92,26.61,2.46,,71.81
43839.32,4.23,1.5,6.5,3.07,,77.81
1698.13,2.34,1.05,26.7,5.54,,72.32
9446.7,7.35,-0.72,5.9,2.81,,74.96
24085.96,4.13,4.92,6.1,2.09,,77.16
6070.35,8.9,-0.83,5.2,1.42,,77.26
3548.59,6.3,1.42,22,2.27,,71.24
31628.48,2.41,1.05,9.4,1.03,,75.72
46454.74,10.79,1.41,4.3,2.27,,82.05
560.81,3.3,3.23,67.9,,,60.37
1428.29,4.59,2.24,49.7,,,64.12
8824.19,11.19,-0.01,3.9,,,78.73
29089.47,6.77,0.81,1.9,1.44,,80.83
61591.93,10.07,0.5,3.3,0.81,,80.95
2537.13,4.95,2.03,17.9,14.4,,71.83
10005.62,3,3.65,62.2,1.35,,58.4
15227.56,6.83,-0.89,4.1,1.5,,78.07
1996.92,3.54,1.04,29.7,3.95,,69.42
5915.85,4.11,2.32,22.5,0.37,,70.45
39808.17,10.95,-0.2,1.8,0.99,,84.21
2569.09,2.25,1.55,37.6,2.04,,67.61
3226.98,5.31,1.25,19.1,1.8,,76.45
7476.08,5.83,1.74,18.5,1.95,,74.09
6108.74,6.58,0.08,6.8,1.46,,75.69
30672.29,8.96,3.49,6.1,1.16,,82.45
8845.91,8.42,-0.02,2.2,2.61,,76.77
1670.2,4.58,2.78,51.4,3.05,,64.7
61381.72,16.42,0.62,5.5,2.36,,78.99
2027.78,3.89,2.59,75.7,12.09,,54.33
1482.21,3.2,2.06,57.2,5.08,,67.11
4340.02,4.93,1.47,20.49,2.9,,69.93
65907.95,2.49,2.07,5.8,0.26,,80.1
23337.02,6.36,1.8,6,2.46,,75
825.87,4.51,2.39,42,63.29,,65.1
2411.86,4.47,2.61,17.3,3.46,,72.84
6967.38,6.61,1.61,36.6,,,68.07
3680.89,7.29,1.15,14.6,7.31,,76.51
63064.42,16.89,0.53,5.6,2.44,,78.64
3125.4,3.37,2.48,22.4,2.33,,70.32
